dataset,model,seed,posterior_cosine,shannon_count,K_active,publication_pass
beauty_fitness,mixture_k2,0,0.6385597095523625,1.2327987162529377,2,False
beauty_fitness,mixture_k2,1,0.7281676277957656,1.3337819065127818,2,False
beauty_fitness,mixture_k2,2,0.0,1.2027868579806678,1,False
home_garden,mixture_k2,0,0.0894767201739084,1.2732229863082003,2,False
home_garden,mixture_k2,1,0.08932446136497563,1.2715951264384429,2,False
home_garden,mixture_k2,2,0.0900092793321775,1.271411315222444,2,True
toys_hobbies,mixture_k2,0,0.46847879612078924,1.5024085522204456,2,False
toys_hobbies,mixture_k2,1,0.46727344091955647,1.5059014563050412,2,True
toys_hobbies,mixture_k2,2,0.46893387218906846,1.5032958469883733,2,True
beauty_fitness,mixture_k3,0,0.538039936123693,1.918258914108495,3,False
beauty_fitness,mixture_k3,1,0.7043594216820901,1.915569198013003,2,False
beauty_fitness,mixture_k3,2,0.7974999298632965,1.5427849856850053,2,False
home_garden,mixture_k3,0,0.11545448219242604,1.654943418730482,2,False
home_garden,mixture_k3,1,0.11589965337700991,1.6549628812605859,2,False
home_garden,mixture_k3,2,0.11627258127218776,1.6577921073994109,2,False
toys_hobbies,mixture_k3,0,0.29178659638597393,2.723799973075097,3,False
toys_hobbies,mixture_k3,1,0.2925659572764228,2.7209463034098347,3,False
toys_hobbies,mixture_k3,2,0.29358336721205175,2.717817809873783,3,False
