label,model,seed,K_true,profile_id,posterior_cosine,shannon_count,K_active,publication_pass,true_cosine_separation
resolvability_k1_tv00_anchor_mixture_k3_seed0,mixture_k3,17,1,tv00_anchor_mixture,0.06475923753938284,1.4596227176983467,2,True,
resolvability_k1_tv00_anchor_mixture_k3_seed1,mixture_k3,18,1,tv00_anchor_mixture,0.04300563679632674,1.6747214080679023,2,True,
resolvability_k1_tv00_anchor_mixture_k3_seed2,mixture_k3,19,1,tv00_anchor_mixture,0.035448947258307495,1.4779469697172565,2,True,
resolvability_k1_tv00_anchor_mixture_k3_seed3,mixture_k3,20,1,tv00_anchor_mixture,0.038770902193637324,1.3543601792196798,2,True,
resolvability_k1_tv00_anchor_mixture_k3_seed4,mixture_k3,21,1,tv00_anchor_mixture,0.04886130981272052,2.2006515134551705,2,True,
resolvability_k2_tv07_low_mixture_k3_seed0,mixture_k3,17,2,tv07_low_mixture,0.05123924706667449,1.6109642344601989,2,True,
resolvability_k2_tv07_low_mixture_k3_seed1,mixture_k3,18,2,tv07_low_mixture,0.04221171283347047,1.6418997288857278,2,True,
resolvability_k2_tv07_low_mixture_k3_seed2,mixture_k3,19,2,tv07_low_mixture,0.04041991442317083,1.4171097183605896,2,True,
resolvability_k2_tv07_low_mixture_k3_seed3,mixture_k3,20,2,tv07_low_mixture,0.04066318219510945,1.3295840869686546,2,True,
resolvability_k2_tv07_low_mixture_k3_seed4,mixture_k3,21,2,tv07_low_mixture,0.046025729872047894,1.7349608215680863,2,True,
resolvability_k2_tv27_mid_mixture_k3_seed0,mixture_k3,17,2,tv27_mid_mixture,0.2780429663219531,2.544849839101644,3,True,
resolvability_k2_tv27_mid_mixture_k3_seed1,mixture_k3,18,2,tv27_mid_mixture,0.17519440853437598,2.247169853721678,3,True,
resolvability_k2_tv27_mid_mixture_k3_seed2,mixture_k3,19,2,tv27_mid_mixture,0.2047269150394275,2.3783714433977954,3,True,
resolvability_k2_tv27_mid_mixture_k3_seed3,mixture_k3,20,2,tv27_mid_mixture,0.22523755929471753,2.452681267397226,3,True,
resolvability_k2_tv27_mid_mixture_k3_seed4,mixture_k3,21,2,tv27_mid_mixture,0.20293193148668745,2.477736542767333,3,True,
resolvability_k2_tv59_high_mixture_k3_seed0,mixture_k3,17,2,tv59_high_mixture,0.32350400424307807,2.794884232037488,3,True,
resolvability_k2_tv59_high_mixture_k3_seed1,mixture_k3,18,2,tv59_high_mixture,0.32104790345838313,2.977311517280829,3,False,
resolvability_k2_tv59_high_mixture_k3_seed2,mixture_k3,19,2,tv59_high_mixture,0.4014741301931674,2.542989837430837,3,True,
resolvability_k2_tv59_high_mixture_k3_seed3,mixture_k3,20,2,tv59_high_mixture,0.38852580315151464,2.6913282174742865,3,False,
resolvability_k2_tv59_high_mixture_k3_seed4,mixture_k3,21,2,tv59_high_mixture,0.30833229783812427,2.690768152829488,3,False,
resolvability_k2_tv94_extreme_mixture_k3_seed0,mixture_k3,17,2,tv94_extreme_mixture,0.20422141407277047,2.1894128670816952,3,True,
resolvability_k2_tv94_extreme_mixture_k3_seed1,mixture_k3,18,2,tv94_extreme_mixture,0.07051941784385707,2.705745399265739,3,False,
resolvability_k2_tv94_extreme_mixture_k3_seed2,mixture_k3,19,2,tv94_extreme_mixture,0.721878143179843,2.569908789571672,3,True,
resolvability_k2_tv94_extreme_mixture_k3_seed3,mixture_k3,20,2,tv94_extreme_mixture,0.6223547969310771,2.6039469288743065,3,True,
resolvability_k2_tv94_extreme_mixture_k3_seed4,mixture_k3,21,2,tv94_extreme_mixture,0.6338173865458407,2.6128362864751287,3,True,
resolvability_k3_tv05_low_mixture_k3_seed0,mixture_k3,17,3,tv05_low_mixture,0.053463552004630155,1.5614060574382844,2,True,
resolvability_k3_tv05_low_mixture_k3_seed1,mixture_k3,18,3,tv05_low_mixture,0.04214348203117324,1.5742637261109207,2,True,
resolvability_k3_tv05_low_mixture_k3_seed2,mixture_k3,19,3,tv05_low_mixture,0.03895245326972252,1.4273397450550218,2,True,
resolvability_k3_tv05_low_mixture_k3_seed3,mixture_k3,20,3,tv05_low_mixture,0.03240506600459481,1.396482509398554,2,True,
resolvability_k3_tv05_low_mixture_k3_seed4,mixture_k3,21,3,tv05_low_mixture,0.05019863324839491,1.7514791795509055,2,True,
resolvability_k3_tv18_mid_mixture_k3_seed0,mixture_k3,17,3,tv18_mid_mixture,0.2481038886370384,2.382889524096935,3,True,
resolvability_k3_tv18_mid_mixture_k3_seed1,mixture_k3,18,3,tv18_mid_mixture,0.17056868678390455,2.2222379487585138,3,True,
resolvability_k3_tv18_mid_mixture_k3_seed2,mixture_k3,19,3,tv18_mid_mixture,0.09562610909840186,2.139840201389081,2,True,
resolvability_k3_tv18_mid_mixture_k3_seed3,mixture_k3,20,3,tv18_mid_mixture,0.1775943941411412,2.3510386155201295,3,True,
resolvability_k3_tv18_mid_mixture_k3_seed4,mixture_k3,21,3,tv18_mid_mixture,0.18394768343960743,2.273338174696553,3,True,
resolvability_k3_tv41_high_mixture_k3_seed0,mixture_k3,17,3,tv41_high_mixture,0.2840955402353178,2.92621491690335,3,True,
resolvability_k3_tv41_high_mixture_k3_seed1,mixture_k3,18,3,tv41_high_mixture,0.24600106641651878,2.906970904009798,3,False,
resolvability_k3_tv41_high_mixture_k3_seed2,mixture_k3,19,3,tv41_high_mixture,0.3810123101550662,2.6947693873057044,3,True,
resolvability_k3_tv41_high_mixture_k3_seed3,mixture_k3,20,3,tv41_high_mixture,0.3066638650863969,2.8449720526935787,3,True,
resolvability_k3_tv41_high_mixture_k3_seed4,mixture_k3,21,3,tv41_high_mixture,0.28155118733379547,2.9042216460144523,3,True,
resolvability_k3_tv73_extreme_mixture_k3_seed0,mixture_k3,17,3,tv73_extreme_mixture,0.6069516932788744,2.9410928336296993,3,False,
resolvability_k3_tv73_extreme_mixture_k3_seed1,mixture_k3,18,3,tv73_extreme_mixture,0.28042454485508633,2.7425408779781724,3,True,
resolvability_k3_tv73_extreme_mixture_k3_seed2,mixture_k3,19,3,tv73_extreme_mixture,0.6510241090312867,2.653555003153923,3,False,
resolvability_k3_tv73_extreme_mixture_k3_seed3,mixture_k3,20,3,tv73_extreme_mixture,0.16363860658107898,2.9868638988481155,3,False,
resolvability_k3_tv73_extreme_mixture_k3_seed4,mixture_k3,21,3,tv73_extreme_mixture,0.4574468225736243,2.9255498466226317,3,True,
