organisation_id,territory_name,organisation_vertical,n_days,date_min,date_max,total_spend,total_target,n_active_channels,active_channels,spend_cv,target_cv,spend_target_corr,log_spend_range,score
5488b06e575cc0e13be2cd67325ffa33,All Territories,Apparel,923,2021-11-23,2024-06-02,968929871.2025508,164975,8,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'google_video_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.6789772625766687,1.0098011358459102,0.8091279312599138,5.277303550566705,0.5924179445848129
1d2a1cd8e7b8f74c8e3e9f9c5cbaca5c,All Territories,Home & Garden,475,2022-06-01,2023-09-18,2051707.372085521,281570,6,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.960303956416586,0.6045810975075034,0.9282338404640734,4.752989705391222,0.5923189372725997
eee3213700d652277941b8370c8c4dcf,Germany,Sports,945,2021-07-20,2024-02-19,2509365.83,109727,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend']",0.7099404787000717,0.7940752998187401,0.8860236805105332,6.089913503472996,0.5917240532224818
e1b9e72f81403e1740a243cf82dc612b,All Territories,Food & Drink,611,2022-08-13,2024-04-14,1481559.137893335,10420,8,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'google_video_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.8827239598055779,0.8527462156186244,0.8871634362706935,9.116348323055517,0.5916572920816402
784d6aa3cda59f59f2400332b2420a49,All Territories,Apparel,1415,2020-04-21,2024-03-05,13473499.022316944,597641,7,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.4913148350521988,0.3526877208803879,0.6342758863458277,4.338511945398912,0.5914416623158786
ab0b8d655e7140272cab371a515e009a,All Territories,Food & Drink,1180,2020-08-29,2023-11-21,1424598.759191873,72187,8,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'google_video_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.9077318160512714,0.3974509985346884,0.6036115626071756,4.885017900084286,0.5903318074403924
7c374835f86c472c74023b035b9deef0,Australia,Apparel,986,2021-09-21,2024-06-02,1487861.53,109694,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend']",0.6478127871145001,0.728363247253212,0.8748733017238585,4.4245616277773,0.5880199682577337
7c374835f86c472c74023b035b9deef0,All Territories,Apparel,986,2021-09-21,2024-06-02,1715518.324173396,126960,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend']",0.6280984824925689,0.7159193069220118,0.8742807424304289,4.040121233376081,0.5858707700075118
882ce7e286d66facc66518783e2192c7,All Territories,Beauty & Fitness,1711,2019-09-27,2024-06-02,4051800.399834522,630667,5,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend', 'meta_instagram_spend']",0.46654382847088655,0.5256500449776218,0.4827449897447025,3.378067381787349,0.5857668574975126
1f9e72d9e28ddf4cf571ea5768c25a30,All Territories,Home & Garden,1317,2020-02-01,2023-09-09,149716.97000000003,118417,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend']",0.8714779189515317,0.7897067655154493,0.6316251916763208,5.98111113502849,0.584670757736142
eee3213700d652277941b8370c8c4dcf,All Territories,Sports,945,2021-07-20,2024-02-19,3304968.546405926,148022,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend']",0.6541499077278505,0.7561633329789663,0.8742045220696476,5.732592882035316,0.5825992485929941
2b15eedfc4faa6293dc4b3bf8c1c9c1f,All Territories,Apparel,1576,2020-02-05,2024-05-29,896068.025354884,20415,7,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.5511278974540205,0.779031288813871,0.502880291911454,5.996833763131235,0.5809911548745207
ba773ebd7ec0a08f1d042187d086ccb4,All Territories,Business & Industrial,1610,2020-01-06,2024-06-02,7687312.367804197,1059108,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend']",0.49251070872131747,0.5628288710498623,0.5987249144577766,3.6800636093831116,0.578737191697186
454371671557a9830df0f97d0b0b5c6d,All Territories,Health,875,2021-12-27,2024-05-19,1042100.6990861642,57236,3,"['google_paid_search_spend', 'google_pmax_spend', 'meta_facebook_spend']",1.073731681896109,1.058435496784353,0.8529772219669328,8.750442309058718,0.5781949470012784
784d6aa3cda59f59f2400332b2420a49,UK,Apparel,1389,2020-04-21,2024-02-08,8140192.310000001,380869,7,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.4355738287804576,0.3646426603762063,0.6172987434354253,3.710974563945923,0.5770622543381423
72a86a208d24d68b80be0e44a8a4872d,All Territories,Autos & Vehicles,1751,2019-08-16,2024-05-31,674755.92220484,55405,3,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend']",0.4303879525115594,0.39535065065314284,0.6316197443600198,2.8383915531638073,0.5725247185591619
70f3b9fb9a8f232814ce705d7641ee4f,All Territories,Apparel,1323,2020-10-05,2024-05-19,567047.2571272256,51735,5,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'meta_facebook_spend']",0.7042373493105153,0.9601426733756809,0.5440150770543914,7.484382832614114,0.5725203197264095
ba773ebd7ec0a08f1d042187d086ccb4,US,Business & Industrial,1600,2020-01-16,2024-06-02,2344112.5900000003,270056,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend']",0.6557130011888616,0.7307967681056255,0.5255607198947826,3.991280767649849,0.5716804070067956
8d85172419d0499b1e601c1a4e9b0a45,All Territories,Home & Garden,494,2022-05-30,2023-10-05,891413.735256274,7674,7,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend', 'tiktok_spend']",0.7951748821916443,0.9302310944585116,0.905051918364752,9.21246411523617,0.5715641887999777
f7e5ba45e3e337e8e90787ae0218a7ac,All Territories,Home & Garden,1091,2021-06-08,2024-06-02,1650639.2932643758,91660,7,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.6426373900308453,0.4470310495684232,0.6659639336400337,4.275585697482575,0.5698210515908114
429c8d00704a9ef6307b49f22d5dfade,All Territories,Business & Industrial,1223,2021-01-14,2024-05-20,7120030.858279429,841371,6,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.4280144574985754,0.5776475311557019,0.6579048271040061,2.654844817526145,0.5647873998776327
aec6d5de0a55d5d6d7631de063ee8221,All Territories,Beauty & Fitness,1290,2020-11-08,2024-05-20,595789.3417786328,52829,5,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_video_spend', 'meta_facebook_spend']",0.8053943169572604,0.7506808410476081,0.49626328745902853,7.333851487009553,0.563598886237261
882ce7e286d66facc66518783e2192c7,UK,Beauty & Fitness,1711,2019-09-27,2024-06-02,2996592.8099999996,356719,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend']",0.4722045202631131,0.5238941090523015,0.4960042233282974,3.980517159673587,0.5603106967518137
849e0a6b9077f95c1dae49f41892cdca,All Territories,Sports,725,2022-06-08,2024-06-01,434341.40703868854,27137,7,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_video_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",1.3839948928479944,0.6833882148040671,0.5553305976689928,8.849217802739547,0.5585109472833842
246b6e2ff861fde47d3bc5f5fdae92a8,All Territories,Arts & Entertainment,766,2022-04-16,2024-05-20,847392.7881966626,98110,6,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'meta_facebook_spend', 'meta_instagram_spend']",0.45679555142151035,0.5164791440876391,0.8427031542682638,5.0314026895779715,0.5578565779503286
e6b75c2d5665773c58e0f736f99117e6,All Territories,Beauty & Fitness,1082,2020-07-14,2023-06-30,538219.6325265879,106080,5,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'meta_facebook_spend']",0.6863360055153771,1.302055456558191,0.6045913384080452,3.559528511651176,0.554494154558246
f7e5ba45e3e337e8e90787ae0218a7ac,UK,Home & Garden,1088,2021-06-08,2024-05-30,1003853.7699999999,74494,7,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.5217317321895965,0.44191009974230394,0.6494612260275632,3.8048710362423845,0.5523513468524713
088510f2efdfd515473f8db631b732e6,All Territories,Home & Garden,1278,2019-12-26,2023-06-25,159729.94,28745,5,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_video_spend', 'meta_facebook_spend']",0.7484906328420772,0.5669955020837989,0.47584199796395715,5.650437398150508,0.5500688242953252
76d1d35d893b943b098102e5e32f30ce,All Territories,Apparel,1425,2020-06-25,2024-05-19,490411.462413935,61517,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend']",0.8146223609480218,0.781386781984313,0.4772370469729161,7.691930757889646,0.5480885186618341
f7e5ba45e3e337e8e90787ae0218a7ac,US,Home & Garden,701,2022-07-03,2024-06-02,733843.8200000001,12608,5,"['google_paid_search_spend', 'google_pmax_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.6920136185473656,0.5975134366382641,0.7588316242791404,8.26872413978046,0.5469365144725735
246b6e2ff861fde47d3bc5f5fdae92a8,US,Arts & Entertainment,754,2022-04-28,2024-05-20,391650.77,28224,5,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'meta_facebook_spend']",0.5268130050060599,0.519181971452408,0.7881080870279974,3.3968810465792636,0.5467664964548076
246b6e2ff861fde47d3bc5f5fdae92a8,UK,Arts & Entertainment,766,2022-04-16,2024-05-20,419463.63,57541,6,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'meta_facebook_spend', 'meta_instagram_spend']",0.4612659066828949,0.5694426384710363,0.8032253171212177,4.594837957183476,0.5464602623323532
7569a6a9c156a0f9398fa6cfd51df5bb,US,Food & Drink,821,2021-10-15,2024-01-13,8184572.029999999,245106,8,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_video_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend', 'tiktok_spend']",0.5546045767958205,0.48367445116946,0.735197228825882,2.702981265231756,0.543238358480402
2467db871d8ebb9f6dfb22f03e78fdca,All Territories,Home & Garden,1097,2021-04-10,2024-04-10,4407617.37573747,102900,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend']",0.4980487144692917,0.5048404440915204,0.722036884862547,3.4485096159197823,0.543040722742358
33e0bf5f8d0d5073582ce096b055c472,All Territories,Food & Drink,1035,2021-07-27,2024-05-26,3767310.957061707,300197,3,"['meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.9005956174951832,0.7949159204234649,0.7135084395258499,9.971993885866583,0.5418847949208083
882ce7e286d66facc66518783e2192c7,Germany,Beauty & Fitness,1711,2019-09-27,2024-06-02,785725.23,75946,3,"['google_paid_search_spend', 'google_shopping_spend', 'meta_facebook_spend']",0.6355534136842207,0.5978650237660336,0.4780437410149451,4.35074978864799,0.5412574413999187
f1b558c0c4d81cfae7859504808f2d9c,All Territories,Apparel,1156,2021-03-03,2024-05-01,695184.0415946167,116724,5,"['google_paid_search_spend', 'google_shopping_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.6245730555595269,0.4600772947962544,0.5388710080664724,3.778088934336934,0.5391671516652148
a310b67ecfa839debf57014dea9c9b34,All Territories,,634,2022-09-08,2024-06-02,784224.1961353284,25439,5,"['google_pmax_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend', 'tiktok_spend']",0.7404591846275641,0.9004048385067226,0.7460208095658234,4.005223175833604,0.5383718643593453
ba773ebd7ec0a08f1d042187d086ccb4,Canada,Business & Industrial,1357,2020-09-15,2024-06-02,706391.8,45343,3,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend']",0.8710381689885435,1.0960492559972685,0.554773668571849,8.360901888756533,0.5372823480814883
eee3213700d652277941b8370c8c4dcf,Austria,Sports,945,2021-07-20,2024-02-19,561635.4400000001,27580,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend']",0.6939524166718039,0.7661918479815661,0.7043833351026705,5.577343520215056,0.5356331433972962
2a388902225d4399155f80ebf577901d,All Territories,Home & Garden,507,2020-04-23,2021-09-11,1279248.3870743392,24894,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_display_spend', 'google_video_spend']",0.9161636101740996,1.0679692050008245,0.8383579587197595,9.719236556710559,0.5355109559434463
7569a6a9c156a0f9398fa6cfd51df5bb,All Territories,Food & Drink,821,2021-10-15,2024-01-13,9045383.708762467,297333,8,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_video_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend', 'tiktok_spend']",0.5286178083474885,0.4426068476641033,0.7076804428224535,2.5161083651599156,0.5323846458345403
